tensor(7.1587, grad_fn=<CopyBackwards>)
tensor(6.5488, grad_fn=<CopyBackwards>)
tensor(5.0623, grad_fn=<CopyBackwards>)
tensor(5.3377, grad_fn=<CopyBackwards>)
tensor(5.7864, grad_fn=<CopyBackwards>)
tensor(5.5901, grad_fn=<CopyBackwards>)
tensor(6.3675, grad_fn=<CopyBackwards>)
tensor(3.7344, grad_fn=<CopyBackwards>)
tensor(6.7307, grad_fn=<CopyBackwards>)
tensor(6.3408, grad_fn=<CopyBackwards>)
tensor(6.0101, grad_fn=<CopyBackwards>)
tensor(4.8503, grad_fn=<CopyBackwards>)
tensor(4.7874, grad_fn=<CopyBackwards>)
tensor(5.0010, grad_fn=<CopyBackwards>)
tensor(4.4197, grad_fn=<CopyBackwards>)
tensor(5.1038, grad_fn=<CopyBackwards>)
tensor(5.8687, grad_fn=<CopyBackwards>)
tensor(9.1941, grad_fn=<CopyBackwards>)
tensor(5.9770, grad_fn=<CopyBackwards>)
tensor(2.8505, grad_fn=<CopyBackwards>)
tensor(5.9391, grad_fn=<CopyBackwards>)
tensor(3.3182, grad_fn=<CopyBackwards>)
tensor(5.3076, grad_fn=<CopyBackwards>)
tensor(5.4356, grad_fn=<CopyBackwards>)
tensor(6.1890, grad_fn=<CopyBackwards>)
tensor(4.5182, grad_fn=<CopyBackwards>)
tensor(7.1522, grad_fn=<CopyBackwards>)
tensor(5.4801, grad_fn=<CopyBackwards>)
tensor(6.0642, grad_fn=<CopyBackwards>)
tensor(5.1275, grad_fn=<CopyBackwards>)
tensor(5.2627, grad_fn=<CopyBackwards>)
tensor(5.4365, grad_fn=<CopyBackwards>)
tensor(7.8633, grad_fn=<CopyBackwards>)
tensor(4.8866, grad_fn=<CopyBackwards>)
tensor(3.9005, grad_fn=<CopyBackwards>)
tensor(5.6818, grad_fn=<CopyBackwards>)
tensor(4.0426, grad_fn=<CopyBackwards>)
tensor(4.7173, grad_fn=<CopyBackwards>)
tensor(4.2152, grad_fn=<CopyBackwards>)
tensor(5.1490, grad_fn=<CopyBackwards>)
tensor(5.1268, grad_fn=<CopyBackwards>)
tensor(5.1044, grad_fn=<CopyBackwards>)
tensor(5.8972, grad_fn=<CopyBackwards>)
tensor(4.3776, grad_fn=<CopyBackwards>)
tensor(6.4776, grad_fn=<CopyBackwards>)
tensor(5.2719, grad_fn=<CopyBackwards>)
