tensor(0.0234, grad_fn=<CopyBackwards>)
tensor(-0.2228, grad_fn=<CopyBackwards>)
tensor(-0.1937, grad_fn=<CopyBackwards>)
tensor(-0.2193, grad_fn=<CopyBackwards>)
tensor(-0.5593, grad_fn=<CopyBackwards>)
tensor(-0.2100, grad_fn=<CopyBackwards>)
tensor(-0.5350, grad_fn=<CopyBackwards>)
tensor(-0.4819, grad_fn=<CopyBackwards>)
tensor(-0.1925, grad_fn=<CopyBackwards>)
tensor(-0.5008, grad_fn=<CopyBackwards>)
tensor(-0.4511, grad_fn=<CopyBackwards>)
tensor(-0.4238, grad_fn=<CopyBackwards>)
tensor(-0.6753, grad_fn=<CopyBackwards>)
tensor(-0.1831, grad_fn=<CopyBackwards>)
tensor(-0.6174, grad_fn=<CopyBackwards>)
tensor(-0.6270, grad_fn=<CopyBackwards>)
tensor(-0.6353, grad_fn=<CopyBackwards>)
tensor(-0.6421, grad_fn=<CopyBackwards>)
tensor(-0.5928, grad_fn=<CopyBackwards>)
tensor(-0.6251, grad_fn=<CopyBackwards>)
tensor(-0.4915, grad_fn=<CopyBackwards>)
tensor(-0.3083, grad_fn=<CopyBackwards>)
tensor(-0.5252, grad_fn=<CopyBackwards>)
tensor(-0.3933, grad_fn=<CopyBackwards>)
tensor(-0.4014, grad_fn=<CopyBackwards>)
tensor(-0.4254, grad_fn=<CopyBackwards>)
tensor(-0.4716, grad_fn=<CopyBackwards>)
tensor(-0.4873, grad_fn=<CopyBackwards>)
tensor(-0.6341, grad_fn=<CopyBackwards>)
tensor(-0.5572, grad_fn=<CopyBackwards>)
tensor(-0.4130, grad_fn=<CopyBackwards>)
tensor(-0.5465, grad_fn=<CopyBackwards>)
tensor(-0.4348, grad_fn=<CopyBackwards>)
tensor(-0.5340, grad_fn=<CopyBackwards>)
tensor(-0.5565, grad_fn=<CopyBackwards>)
tensor(-0.6069, grad_fn=<CopyBackwards>)
tensor(-0.6521, grad_fn=<CopyBackwards>)
tensor(-0.6531, grad_fn=<CopyBackwards>)
tensor(-0.8012, grad_fn=<CopyBackwards>)
tensor(-0.7356, grad_fn=<CopyBackwards>)
tensor(-0.6447, grad_fn=<CopyBackwards>)
tensor(-0.7014, grad_fn=<CopyBackwards>)
