tensor(0.1515, grad_fn=<CopyBackwards>)
tensor(-0.3129, grad_fn=<CopyBackwards>)
tensor(-0.3785, grad_fn=<CopyBackwards>)
tensor(-0.4339, grad_fn=<CopyBackwards>)
tensor(-0.4697, grad_fn=<CopyBackwards>)
tensor(-0.5119, grad_fn=<CopyBackwards>)
tensor(-0.6432, grad_fn=<CopyBackwards>)
tensor(-0.6255, grad_fn=<CopyBackwards>)
tensor(-0.2431, grad_fn=<CopyBackwards>)
tensor(-0.4436, grad_fn=<CopyBackwards>)
tensor(-0.2867, grad_fn=<CopyBackwards>)
tensor(-0.3621, grad_fn=<CopyBackwards>)
tensor(-0.4941, grad_fn=<CopyBackwards>)
tensor(-0.4600, grad_fn=<CopyBackwards>)
tensor(-0.4068, grad_fn=<CopyBackwards>)
tensor(-0.7045, grad_fn=<CopyBackwards>)
tensor(-0.5492, grad_fn=<CopyBackwards>)
tensor(-0.8370, grad_fn=<CopyBackwards>)
tensor(-0.4763, grad_fn=<CopyBackwards>)
tensor(-0.7044, grad_fn=<CopyBackwards>)
tensor(-0.6780, grad_fn=<CopyBackwards>)
tensor(-0.6824, grad_fn=<CopyBackwards>)
tensor(-0.7074, grad_fn=<CopyBackwards>)
tensor(-0.7078, grad_fn=<CopyBackwards>)
tensor(-0.7295, grad_fn=<CopyBackwards>)
tensor(-0.6700, grad_fn=<CopyBackwards>)
tensor(-0.5584, grad_fn=<CopyBackwards>)
tensor(-0.7249, grad_fn=<CopyBackwards>)
tensor(-0.3238, grad_fn=<CopyBackwards>)
tensor(-0.6709, grad_fn=<CopyBackwards>)
tensor(-0.7734, grad_fn=<CopyBackwards>)
tensor(-0.6644, grad_fn=<CopyBackwards>)
tensor(-0.6685, grad_fn=<CopyBackwards>)
tensor(-0.3426, grad_fn=<CopyBackwards>)
tensor(-0.6643, grad_fn=<CopyBackwards>)
tensor(-0.6126, grad_fn=<CopyBackwards>)
tensor(-0.4071, grad_fn=<CopyBackwards>)
tensor(-0.6158, grad_fn=<CopyBackwards>)
tensor(-0.3571, grad_fn=<CopyBackwards>)
tensor(-0.4349, grad_fn=<CopyBackwards>)
tensor(-0.6838, grad_fn=<CopyBackwards>)
tensor(-0.6879, grad_fn=<CopyBackwards>)
tensor(-0.6305, grad_fn=<CopyBackwards>)
tensor(-0.7654, grad_fn=<CopyBackwards>)
tensor(-0.7201, grad_fn=<CopyBackwards>)
tensor(-0.7629, grad_fn=<CopyBackwards>)
tensor(-0.2783, grad_fn=<CopyBackwards>)
tensor(-0.5840, grad_fn=<CopyBackwards>)
tensor(-0.4269, grad_fn=<CopyBackwards>)
tensor(-0.8700, grad_fn=<CopyBackwards>)
tensor(-0.5146, grad_fn=<CopyBackwards>)
tensor(-0.5676, grad_fn=<CopyBackwards>)
tensor(-0.4776, grad_fn=<CopyBackwards>)
tensor(-0.2982, grad_fn=<CopyBackwards>)
tensor(-0.5612, grad_fn=<CopyBackwards>)
tensor(-0.6260, grad_fn=<CopyBackwards>)
tensor(0.0259, grad_fn=<CopyBackwards>)
tensor(-0.7270, grad_fn=<CopyBackwards>)
tensor(-0.5123, grad_fn=<CopyBackwards>)
tensor(-0.4174, grad_fn=<CopyBackwards>)
tensor(-0.8450, grad_fn=<CopyBackwards>)
tensor(-0.2136, grad_fn=<CopyBackwards>)
tensor(-0.6522, grad_fn=<CopyBackwards>)
tensor(-0.6659, grad_fn=<CopyBackwards>)
tensor(-0.8095, grad_fn=<CopyBackwards>)
tensor(-0.6575, grad_fn=<CopyBackwards>)
tensor(-0.6750, grad_fn=<CopyBackwards>)
tensor(-0.2785, grad_fn=<CopyBackwards>)
tensor(-0.4792, grad_fn=<CopyBackwards>)
tensor(-0.2219, grad_fn=<CopyBackwards>)
tensor(-0.6129, grad_fn=<CopyBackwards>)
tensor(-0.5900, grad_fn=<CopyBackwards>)
tensor(-0.6050, grad_fn=<CopyBackwards>)
tensor(-0.1729, grad_fn=<CopyBackwards>)
tensor(-0.3425, grad_fn=<CopyBackwards>)
tensor(0.0022, grad_fn=<CopyBackwards>)
tensor(-0.4668, grad_fn=<CopyBackwards>)
tensor(-0.5656, grad_fn=<CopyBackwards>)
tensor(-0.4498, grad_fn=<CopyBackwards>)
tensor(-0.6795, grad_fn=<CopyBackwards>)
tensor(-0.5691, grad_fn=<CopyBackwards>)
tensor(-0.3584, grad_fn=<CopyBackwards>)
tensor(-0.8613, grad_fn=<CopyBackwards>)
tensor(-0.4082, grad_fn=<CopyBackwards>)
tensor(-0.5781, grad_fn=<CopyBackwards>)
tensor(-0.5512, grad_fn=<CopyBackwards>)
tensor(-0.5967, grad_fn=<CopyBackwards>)
tensor(-0.7547, grad_fn=<CopyBackwards>)
tensor(-0.9037, grad_fn=<CopyBackwards>)
tensor(-0.7211, grad_fn=<CopyBackwards>)
tensor(-0.5014, grad_fn=<CopyBackwards>)
tensor(-0.3431, grad_fn=<CopyBackwards>)
tensor(-0.6045, grad_fn=<CopyBackwards>)
tensor(-0.5821, grad_fn=<CopyBackwards>)
tensor(-0.7891, grad_fn=<CopyBackwards>)
tensor(-0.7414, grad_fn=<CopyBackwards>)
tensor(-0.6573, grad_fn=<CopyBackwards>)
tensor(-0.7688, grad_fn=<CopyBackwards>)
tensor(-0.7134, grad_fn=<CopyBackwards>)
tensor(-0.8002, grad_fn=<CopyBackwards>)
tensor(-0.2637, grad_fn=<CopyBackwards>)
tensor(-0.7118, grad_fn=<CopyBackwards>)
tensor(-0.4724, grad_fn=<CopyBackwards>)
tensor(-0.7422, grad_fn=<CopyBackwards>)
tensor(-0.5171, grad_fn=<CopyBackwards>)
tensor(-0.9329, grad_fn=<CopyBackwards>)
tensor(-0.3952, grad_fn=<CopyBackwards>)
tensor(-0.1137, grad_fn=<CopyBackwards>)
tensor(-0.2446, grad_fn=<CopyBackwards>)
tensor(-0.6609, grad_fn=<CopyBackwards>)
tensor(-0.8720, grad_fn=<CopyBackwards>)
tensor(-0.3591, grad_fn=<CopyBackwards>)
tensor(-0.5209, grad_fn=<CopyBackwards>)
tensor(-0.4066, grad_fn=<CopyBackwards>)
tensor(-0.9293, grad_fn=<CopyBackwards>)
tensor(-0.5419, grad_fn=<CopyBackwards>)
tensor(-0.4213, grad_fn=<CopyBackwards>)
tensor(-0.5719, grad_fn=<CopyBackwards>)
tensor(-0.7560, grad_fn=<CopyBackwards>)
tensor(-0.8919, grad_fn=<CopyBackwards>)
tensor(-0.6160, grad_fn=<CopyBackwards>)
tensor(-0.7439, grad_fn=<CopyBackwards>)
tensor(-0.5316, grad_fn=<CopyBackwards>)
tensor(-0.6894, grad_fn=<CopyBackwards>)
tensor(-0.8658, grad_fn=<CopyBackwards>)
tensor(-0.3265, grad_fn=<CopyBackwards>)
tensor(-0.5114, grad_fn=<CopyBackwards>)
tensor(-0.1507, grad_fn=<CopyBackwards>)
tensor(-0.5919, grad_fn=<CopyBackwards>)
tensor(0.1707, grad_fn=<CopyBackwards>)
tensor(-0.7507, grad_fn=<CopyBackwards>)
tensor(-0.4106, grad_fn=<CopyBackwards>)
tensor(-0.8113, grad_fn=<CopyBackwards>)
tensor(-0.8388, grad_fn=<CopyBackwards>)
tensor(-0.7019, grad_fn=<CopyBackwards>)
tensor(0.0409, grad_fn=<CopyBackwards>)
tensor(-0.3361, grad_fn=<CopyBackwards>)
tensor(-0.4964, grad_fn=<CopyBackwards>)
tensor(-0.3004, grad_fn=<CopyBackwards>)
tensor(-0.4236, grad_fn=<CopyBackwards>)
tensor(-0.0172, grad_fn=<CopyBackwards>)
tensor(-0.6017, grad_fn=<CopyBackwards>)
tensor(-0.2964, grad_fn=<CopyBackwards>)
tensor(-0.4014, grad_fn=<CopyBackwards>)
tensor(-0.4570, grad_fn=<CopyBackwards>)
tensor(-0.9070, grad_fn=<CopyBackwards>)
tensor(-0.8886, grad_fn=<CopyBackwards>)
tensor(-0.8211, grad_fn=<CopyBackwards>)
tensor(-0.9225, grad_fn=<CopyBackwards>)
tensor(-0.2507, grad_fn=<CopyBackwards>)
tensor(-0.6516, grad_fn=<CopyBackwards>)
tensor(-0.8512, grad_fn=<CopyBackwards>)
tensor(0.2858, grad_fn=<CopyBackwards>)
tensor(-0.6278, grad_fn=<CopyBackwards>)
tensor(-0.6419, grad_fn=<CopyBackwards>)
tensor(-0.3966, grad_fn=<CopyBackwards>)
tensor(-0.8500, grad_fn=<CopyBackwards>)
tensor(-0.4324, grad_fn=<CopyBackwards>)
tensor(-0.7018, grad_fn=<CopyBackwards>)
tensor(-0.7382, grad_fn=<CopyBackwards>)
tensor(-0.9148, grad_fn=<CopyBackwards>)
tensor(-0.8622, grad_fn=<CopyBackwards>)
tensor(-0.7341, grad_fn=<CopyBackwards>)
tensor(-0.3303, grad_fn=<CopyBackwards>)
tensor(-0.6425, grad_fn=<CopyBackwards>)
tensor(-0.6931, grad_fn=<CopyBackwards>)
tensor(-0.8184, grad_fn=<CopyBackwards>)
tensor(-0.7868, grad_fn=<CopyBackwards>)
tensor(-0.5618, grad_fn=<CopyBackwards>)
tensor(-0.8786, grad_fn=<CopyBackwards>)
tensor(-0.5445, grad_fn=<CopyBackwards>)
tensor(-0.8291, grad_fn=<CopyBackwards>)
tensor(-0.6812, grad_fn=<CopyBackwards>)
tensor(-0.8641, grad_fn=<CopyBackwards>)
tensor(-0.6783, grad_fn=<CopyBackwards>)
tensor(-0.4300, grad_fn=<CopyBackwards>)
tensor(0.2711, grad_fn=<CopyBackwards>)
tensor(-0.3786, grad_fn=<CopyBackwards>)
tensor(-0.6419, grad_fn=<CopyBackwards>)
tensor(-0.9493, grad_fn=<CopyBackwards>)
tensor(-0.8529, grad_fn=<CopyBackwards>)
tensor(-0.8534, grad_fn=<CopyBackwards>)
tensor(-0.3423, grad_fn=<CopyBackwards>)
tensor(-0.7422, grad_fn=<CopyBackwards>)
tensor(-0.8693, grad_fn=<CopyBackwards>)
tensor(-0.8698, grad_fn=<CopyBackwards>)
tensor(-0.9239, grad_fn=<CopyBackwards>)
tensor(-0.6875, grad_fn=<CopyBackwards>)
tensor(-0.3406, grad_fn=<CopyBackwards>)
tensor(-0.7050, grad_fn=<CopyBackwards>)
tensor(0.0152, grad_fn=<CopyBackwards>)
tensor(-0.8084, grad_fn=<CopyBackwards>)
tensor(-0.7953, grad_fn=<CopyBackwards>)
tensor(-0.7581, grad_fn=<CopyBackwards>)
tensor(-0.6293, grad_fn=<CopyBackwards>)
tensor(-0.3953, grad_fn=<CopyBackwards>)
tensor(-0.6688, grad_fn=<CopyBackwards>)
tensor(-0.3175, grad_fn=<CopyBackwards>)
tensor(-0.5007, grad_fn=<CopyBackwards>)
tensor(-0.9215, grad_fn=<CopyBackwards>)
tensor(-0.4063, grad_fn=<CopyBackwards>)
tensor(-0.0032, grad_fn=<CopyBackwards>)
tensor(-0.9024, grad_fn=<CopyBackwards>)
tensor(-0.6390, grad_fn=<CopyBackwards>)
tensor(-0.9721, grad_fn=<CopyBackwards>)
tensor(-0.3037, grad_fn=<CopyBackwards>)
tensor(-0.9230, grad_fn=<CopyBackwards>)
tensor(-0.2089, grad_fn=<CopyBackwards>)
tensor(-0.7689, grad_fn=<CopyBackwards>)
tensor(-0.4382, grad_fn=<CopyBackwards>)
tensor(-0.6403, grad_fn=<CopyBackwards>)
tensor(-0.7315, grad_fn=<CopyBackwards>)
tensor(0.2679, grad_fn=<CopyBackwards>)
tensor(-0.4951, grad_fn=<CopyBackwards>)
tensor(-0.7497, grad_fn=<CopyBackwards>)
tensor(-0.8983, grad_fn=<CopyBackwards>)
tensor(-0.8331, grad_fn=<CopyBackwards>)
tensor(-0.4139, grad_fn=<CopyBackwards>)
tensor(-0.7775, grad_fn=<CopyBackwards>)
tensor(-0.0248, grad_fn=<CopyBackwards>)
tensor(-0.7781, grad_fn=<CopyBackwards>)
tensor(-0.2798, grad_fn=<CopyBackwards>)
tensor(-0.8274, grad_fn=<CopyBackwards>)
tensor(-0.6792, grad_fn=<CopyBackwards>)
tensor(-0.7965, grad_fn=<CopyBackwards>)
tensor(-0.4529, grad_fn=<CopyBackwards>)
