tensor(-0.5348, grad_fn=<CopyBackwards>)
tensor(-0.3331, grad_fn=<CopyBackwards>)
tensor(-0.2706, grad_fn=<CopyBackwards>)
tensor(-0.2749, grad_fn=<CopyBackwards>)
tensor(-0.2179, grad_fn=<CopyBackwards>)
tensor(-0.1132, grad_fn=<CopyBackwards>)
tensor(-0.1758, grad_fn=<CopyBackwards>)
tensor(-0.1775, grad_fn=<CopyBackwards>)
tensor(-0.3237, grad_fn=<CopyBackwards>)
tensor(-0.2094, grad_fn=<CopyBackwards>)
tensor(-0.1361, grad_fn=<CopyBackwards>)
tensor(-0.0638, grad_fn=<CopyBackwards>)
tensor(-0.0669, grad_fn=<CopyBackwards>)
tensor(-0.0802, grad_fn=<CopyBackwards>)
tensor(-0.0477, grad_fn=<CopyBackwards>)
tensor(-0.0150, grad_fn=<CopyBackwards>)
tensor(-0.0202, grad_fn=<CopyBackwards>)
tensor(-0.0293, grad_fn=<CopyBackwards>)
tensor(-0.0199, grad_fn=<CopyBackwards>)
tensor(-0.0149, grad_fn=<CopyBackwards>)
tensor(-0.0172, grad_fn=<CopyBackwards>)
tensor(-0.0799, grad_fn=<CopyBackwards>)
tensor(-0.0749, grad_fn=<CopyBackwards>)
tensor(-0.0492, grad_fn=<CopyBackwards>)
tensor(-0.0325, grad_fn=<CopyBackwards>)
tensor(-0.0418, grad_fn=<CopyBackwards>)
tensor(-0.0323, grad_fn=<CopyBackwards>)
tensor(-0.0604, grad_fn=<CopyBackwards>)
tensor(-0.1119, grad_fn=<CopyBackwards>)
tensor(-0.1789, grad_fn=<CopyBackwards>)
tensor(-0.2884, grad_fn=<CopyBackwards>)
tensor(-0.0537, grad_fn=<CopyBackwards>)
tensor(-0.0536, grad_fn=<CopyBackwards>)
tensor(-0.0488, grad_fn=<CopyBackwards>)
tensor(-0.0558, grad_fn=<CopyBackwards>)
tensor(-0.0222, grad_fn=<CopyBackwards>)
tensor(-0.0927, grad_fn=<CopyBackwards>)
tensor(-0.0209, grad_fn=<CopyBackwards>)
tensor(-0.0282, grad_fn=<CopyBackwards>)
tensor(-0.0680, grad_fn=<CopyBackwards>)
tensor(-0.0684, grad_fn=<CopyBackwards>)
tensor(-0.0652, grad_fn=<CopyBackwards>)
tensor(-0.0536, grad_fn=<CopyBackwards>)
tensor(-0.0373, grad_fn=<CopyBackwards>)
tensor(-0.0296, grad_fn=<CopyBackwards>)
tensor(-0.0077, grad_fn=<CopyBackwards>)
tensor(-0.1072, grad_fn=<CopyBackwards>)
tensor(-0.0995, grad_fn=<CopyBackwards>)
tensor(-0.0199, grad_fn=<CopyBackwards>)
tensor(-0.1231, grad_fn=<CopyBackwards>)
tensor(-0.2709, grad_fn=<CopyBackwards>)
tensor(-0.0685, grad_fn=<CopyBackwards>)
tensor(-0.1058, grad_fn=<CopyBackwards>)
tensor(-0.2711, grad_fn=<CopyBackwards>)
tensor(-0.1448, grad_fn=<CopyBackwards>)
