tensor(0.0628, grad_fn=<CopyBackwards>)
tensor(-0.0836, grad_fn=<CopyBackwards>)
tensor(-0.1382, grad_fn=<CopyBackwards>)
tensor(-0.4029, grad_fn=<CopyBackwards>)
tensor(-0.4485, grad_fn=<CopyBackwards>)
tensor(-0.3977, grad_fn=<CopyBackwards>)
tensor(-0.2899, grad_fn=<CopyBackwards>)
tensor(-0.5991, grad_fn=<CopyBackwards>)
tensor(-0.5565, grad_fn=<CopyBackwards>)
tensor(-0.2338, grad_fn=<CopyBackwards>)
tensor(-0.4283, grad_fn=<CopyBackwards>)
tensor(-0.4934, grad_fn=<CopyBackwards>)
tensor(-0.6806, grad_fn=<CopyBackwards>)
tensor(-0.2494, grad_fn=<CopyBackwards>)
tensor(-0.4728, grad_fn=<CopyBackwards>)
tensor(-0.2392, grad_fn=<CopyBackwards>)
tensor(-0.5166, grad_fn=<CopyBackwards>)
tensor(-0.6429, grad_fn=<CopyBackwards>)
tensor(-0.6332, grad_fn=<CopyBackwards>)
tensor(-0.5417, grad_fn=<CopyBackwards>)
tensor(-0.1790, grad_fn=<CopyBackwards>)
tensor(-0.6075, grad_fn=<CopyBackwards>)
tensor(-0.1101, grad_fn=<CopyBackwards>)
tensor(-0.3969, grad_fn=<CopyBackwards>)
tensor(-0.6421, grad_fn=<CopyBackwards>)
tensor(-0.6029, grad_fn=<CopyBackwards>)
tensor(-0.6434, grad_fn=<CopyBackwards>)
tensor(-0.6493, grad_fn=<CopyBackwards>)
tensor(-0.5519, grad_fn=<CopyBackwards>)
tensor(-0.5926, grad_fn=<CopyBackwards>)
tensor(-0.6505, grad_fn=<CopyBackwards>)
tensor(-0.5930, grad_fn=<CopyBackwards>)
tensor(-0.4933, grad_fn=<CopyBackwards>)
tensor(-0.6277, grad_fn=<CopyBackwards>)
tensor(-0.6396, grad_fn=<CopyBackwards>)
tensor(-0.4832, grad_fn=<CopyBackwards>)
tensor(-0.6889, grad_fn=<CopyBackwards>)
tensor(-0.2754, grad_fn=<CopyBackwards>)
tensor(-0.6668, grad_fn=<CopyBackwards>)
tensor(-0.6981, grad_fn=<CopyBackwards>)
tensor(-0.3758, grad_fn=<CopyBackwards>)
tensor(-0.5784, grad_fn=<CopyBackwards>)
tensor(-0.6833, grad_fn=<CopyBackwards>)
tensor(-0.8195, grad_fn=<CopyBackwards>)
tensor(-0.6154, grad_fn=<CopyBackwards>)
tensor(-0.3777, grad_fn=<CopyBackwards>)
tensor(-0.8481, grad_fn=<CopyBackwards>)
tensor(-0.2610, grad_fn=<CopyBackwards>)
tensor(-0.7063, grad_fn=<CopyBackwards>)
tensor(-0.5852, grad_fn=<CopyBackwards>)
