tensor(3.5286, grad_fn=<CopyBackwards>)
tensor(3.6610, grad_fn=<CopyBackwards>)
tensor(3.6601, grad_fn=<CopyBackwards>)
tensor(4.0000, grad_fn=<CopyBackwards>)
tensor(3.8156, grad_fn=<CopyBackwards>)
tensor(3.3725, grad_fn=<CopyBackwards>)
tensor(2.9150, grad_fn=<CopyBackwards>)
tensor(3.5106, grad_fn=<CopyBackwards>)
tensor(3.1065, grad_fn=<CopyBackwards>)
tensor(2.8429, grad_fn=<CopyBackwards>)
tensor(3.2813, grad_fn=<CopyBackwards>)
tensor(2.0928, grad_fn=<CopyBackwards>)
tensor(1.9492, grad_fn=<CopyBackwards>)
tensor(1.5389, grad_fn=<CopyBackwards>)
tensor(2.9113, grad_fn=<CopyBackwards>)
tensor(1.4809, grad_fn=<CopyBackwards>)
tensor(1.7902, grad_fn=<CopyBackwards>)
tensor(1.5133, grad_fn=<CopyBackwards>)
tensor(1.9660, grad_fn=<CopyBackwards>)
tensor(2.0156, grad_fn=<CopyBackwards>)
tensor(2.3132, grad_fn=<CopyBackwards>)
tensor(1.4495, grad_fn=<CopyBackwards>)
tensor(1.3628, grad_fn=<CopyBackwards>)
tensor(2.3502, grad_fn=<CopyBackwards>)
tensor(1.8193, grad_fn=<CopyBackwards>)
tensor(3.5210, grad_fn=<CopyBackwards>)
tensor(2.1502, grad_fn=<CopyBackwards>)
tensor(1.5825, grad_fn=<CopyBackwards>)
tensor(3.7686, grad_fn=<CopyBackwards>)
tensor(3.3534, grad_fn=<CopyBackwards>)
tensor(1.9440, grad_fn=<CopyBackwards>)
tensor(2.2998, grad_fn=<CopyBackwards>)
tensor(2.5334, grad_fn=<CopyBackwards>)
tensor(1.8272, grad_fn=<CopyBackwards>)
tensor(1.7656, grad_fn=<CopyBackwards>)
tensor(1.3871, grad_fn=<CopyBackwards>)
tensor(2.4983, grad_fn=<CopyBackwards>)
tensor(2.5352, grad_fn=<CopyBackwards>)
tensor(1.2445, grad_fn=<CopyBackwards>)
tensor(2.9767, grad_fn=<CopyBackwards>)
tensor(1.9941, grad_fn=<CopyBackwards>)
tensor(2.7093, grad_fn=<CopyBackwards>)
tensor(1.5345, grad_fn=<CopyBackwards>)
tensor(2.6941, grad_fn=<CopyBackwards>)
tensor(3.1697, grad_fn=<CopyBackwards>)
tensor(1.8718, grad_fn=<CopyBackwards>)
tensor(1.5250, grad_fn=<CopyBackwards>)
tensor(2.5934, grad_fn=<CopyBackwards>)
tensor(2.3674, grad_fn=<CopyBackwards>)
tensor(2.2767, grad_fn=<CopyBackwards>)
