tensor(0.1674, grad_fn=<CopyBackwards>)
tensor(-0.1678, grad_fn=<CopyBackwards>)
tensor(-0.1928, grad_fn=<CopyBackwards>)
tensor(-0.1682, grad_fn=<CopyBackwards>)
tensor(-0.3085, grad_fn=<CopyBackwards>)
tensor(0.0339, grad_fn=<CopyBackwards>)
tensor(-0.2417, grad_fn=<CopyBackwards>)
tensor(0.0492, grad_fn=<CopyBackwards>)
tensor(0.0220, grad_fn=<CopyBackwards>)
tensor(-0.2447, grad_fn=<CopyBackwards>)
tensor(-0.4413, grad_fn=<CopyBackwards>)
tensor(-0.4486, grad_fn=<CopyBackwards>)
tensor(-0.2663, grad_fn=<CopyBackwards>)
tensor(-0.5007, grad_fn=<CopyBackwards>)
tensor(-0.4734, grad_fn=<CopyBackwards>)
tensor(-0.1936, grad_fn=<CopyBackwards>)
tensor(-0.2911, grad_fn=<CopyBackwards>)
tensor(0.1589, grad_fn=<CopyBackwards>)
tensor(-0.5259, grad_fn=<CopyBackwards>)
tensor(-0.2322, grad_fn=<CopyBackwards>)
tensor(-0.3929, grad_fn=<CopyBackwards>)
tensor(0.1506, grad_fn=<CopyBackwards>)
tensor(-0.6735, grad_fn=<CopyBackwards>)
tensor(-0.0849, grad_fn=<CopyBackwards>)
tensor(-0.0140, grad_fn=<CopyBackwards>)
tensor(-0.2405, grad_fn=<CopyBackwards>)
tensor(-0.3904, grad_fn=<CopyBackwards>)
tensor(-0.5118, grad_fn=<CopyBackwards>)
tensor(-0.4023, grad_fn=<CopyBackwards>)
tensor(-0.4445, grad_fn=<CopyBackwards>)
tensor(-0.5835, grad_fn=<CopyBackwards>)
tensor(-0.4734, grad_fn=<CopyBackwards>)
tensor(-0.4671, grad_fn=<CopyBackwards>)
tensor(-0.3487, grad_fn=<CopyBackwards>)
tensor(-0.5185, grad_fn=<CopyBackwards>)
tensor(-0.2909, grad_fn=<CopyBackwards>)
tensor(-0.5412, grad_fn=<CopyBackwards>)
tensor(-0.4906, grad_fn=<CopyBackwards>)
tensor(-0.3267, grad_fn=<CopyBackwards>)
tensor(-0.1551, grad_fn=<CopyBackwards>)
tensor(-0.6308, grad_fn=<CopyBackwards>)
tensor(-0.6574, grad_fn=<CopyBackwards>)
tensor(-0.4548, grad_fn=<CopyBackwards>)
tensor(0.0188, grad_fn=<CopyBackwards>)
tensor(-0.6171, grad_fn=<CopyBackwards>)
tensor(-0.8024, grad_fn=<CopyBackwards>)
tensor(-0.4553, grad_fn=<CopyBackwards>)
tensor(-0.5561, grad_fn=<CopyBackwards>)
tensor(-0.5649, grad_fn=<CopyBackwards>)
tensor(-0.5370, grad_fn=<CopyBackwards>)
tensor(-0.5611, grad_fn=<CopyBackwards>)
tensor(-0.4991, grad_fn=<CopyBackwards>)
tensor(-0.6790, grad_fn=<CopyBackwards>)
tensor(-0.4816, grad_fn=<CopyBackwards>)
tensor(-0.7884, grad_fn=<CopyBackwards>)
tensor(-0.5713, grad_fn=<CopyBackwards>)
tensor(-0.5740, grad_fn=<CopyBackwards>)
tensor(-0.2447, grad_fn=<CopyBackwards>)
tensor(-0.4483, grad_fn=<CopyBackwards>)
tensor(-0.7175, grad_fn=<CopyBackwards>)
tensor(-0.6182, grad_fn=<CopyBackwards>)
tensor(-0.6269, grad_fn=<CopyBackwards>)
tensor(-0.3200, grad_fn=<CopyBackwards>)
tensor(-0.2407, grad_fn=<CopyBackwards>)
tensor(-0.7105, grad_fn=<CopyBackwards>)
tensor(-0.2593, grad_fn=<CopyBackwards>)
tensor(-0.4621, grad_fn=<CopyBackwards>)
tensor(-0.4030, grad_fn=<CopyBackwards>)
tensor(-0.0227, grad_fn=<CopyBackwards>)
tensor(0.1346, grad_fn=<CopyBackwards>)
tensor(-0.2318, grad_fn=<CopyBackwards>)
tensor(0.3442, grad_fn=<CopyBackwards>)
tensor(0.2256, grad_fn=<CopyBackwards>)
tensor(0.1733, grad_fn=<CopyBackwards>)
tensor(-0.2565, grad_fn=<CopyBackwards>)
tensor(-0.1385, grad_fn=<CopyBackwards>)
tensor(0.3071, grad_fn=<CopyBackwards>)
tensor(0.0728, grad_fn=<CopyBackwards>)
tensor(0.1980, grad_fn=<CopyBackwards>)
tensor(-0.2039, grad_fn=<CopyBackwards>)
