tensor(4.0700, grad_fn=<CopyBackwards>)
tensor(4.0682, grad_fn=<CopyBackwards>)
tensor(4.1132, grad_fn=<CopyBackwards>)
tensor(4.0349, grad_fn=<CopyBackwards>)
tensor(3.9584, grad_fn=<CopyBackwards>)
tensor(3.6639, grad_fn=<CopyBackwards>)
tensor(2.8993, grad_fn=<CopyBackwards>)
tensor(3.6608, grad_fn=<CopyBackwards>)
tensor(3.0188, grad_fn=<CopyBackwards>)
tensor(2.1188, grad_fn=<CopyBackwards>)
tensor(2.1692, grad_fn=<CopyBackwards>)
tensor(2.6210, grad_fn=<CopyBackwards>)
tensor(1.8603, grad_fn=<CopyBackwards>)
tensor(1.4709, grad_fn=<CopyBackwards>)
tensor(2.0670, grad_fn=<CopyBackwards>)
tensor(1.2643, grad_fn=<CopyBackwards>)
tensor(1.3997, grad_fn=<CopyBackwards>)
tensor(1.6948, grad_fn=<CopyBackwards>)
tensor(1.1683, grad_fn=<CopyBackwards>)
tensor(1.8970, grad_fn=<CopyBackwards>)
tensor(2.0348, grad_fn=<CopyBackwards>)
tensor(2.2645, grad_fn=<CopyBackwards>)
tensor(3.0115, grad_fn=<CopyBackwards>)
tensor(2.1066, grad_fn=<CopyBackwards>)
tensor(1.9279, grad_fn=<CopyBackwards>)
tensor(1.3353, grad_fn=<CopyBackwards>)
tensor(2.8675, grad_fn=<CopyBackwards>)
tensor(2.5042, grad_fn=<CopyBackwards>)
tensor(2.2639, grad_fn=<CopyBackwards>)
tensor(3.1837, grad_fn=<CopyBackwards>)
tensor(2.2260, grad_fn=<CopyBackwards>)
tensor(2.8267, grad_fn=<CopyBackwards>)
tensor(3.0953, grad_fn=<CopyBackwards>)
tensor(1.8003, grad_fn=<CopyBackwards>)
tensor(1.8720, grad_fn=<CopyBackwards>)
tensor(2.5352, grad_fn=<CopyBackwards>)
tensor(2.9434, grad_fn=<CopyBackwards>)
tensor(3.6848, grad_fn=<CopyBackwards>)
tensor(2.7135, grad_fn=<CopyBackwards>)
tensor(1.7269, grad_fn=<CopyBackwards>)
tensor(2.0953, grad_fn=<CopyBackwards>)
tensor(2.2037, grad_fn=<CopyBackwards>)
tensor(2.2254, grad_fn=<CopyBackwards>)
tensor(3.2520, grad_fn=<CopyBackwards>)
tensor(2.3728, grad_fn=<CopyBackwards>)
tensor(1.4497, grad_fn=<CopyBackwards>)
tensor(3.6766, grad_fn=<CopyBackwards>)
tensor(2.8272, grad_fn=<CopyBackwards>)
tensor(2.0767, grad_fn=<CopyBackwards>)
tensor(2.7955, grad_fn=<CopyBackwards>)
tensor(2.0729, grad_fn=<CopyBackwards>)
tensor(2.8637, grad_fn=<CopyBackwards>)
tensor(2.3481, grad_fn=<CopyBackwards>)
tensor(2.7028, grad_fn=<CopyBackwards>)
tensor(2.0477, grad_fn=<CopyBackwards>)
tensor(1.5511, grad_fn=<CopyBackwards>)
tensor(2.4958, grad_fn=<CopyBackwards>)
tensor(4.6282, grad_fn=<CopyBackwards>)
tensor(1.1516, grad_fn=<CopyBackwards>)
tensor(3.4882, grad_fn=<CopyBackwards>)
tensor(2.6225, grad_fn=<CopyBackwards>)
tensor(2.8774, grad_fn=<CopyBackwards>)
tensor(3.3621, grad_fn=<CopyBackwards>)
tensor(3.3595, grad_fn=<CopyBackwards>)
tensor(2.0825, grad_fn=<CopyBackwards>)
tensor(2.3060, grad_fn=<CopyBackwards>)
tensor(2.4556, grad_fn=<CopyBackwards>)
tensor(1.6512, grad_fn=<CopyBackwards>)
tensor(3.1565, grad_fn=<CopyBackwards>)
tensor(2.0571, grad_fn=<CopyBackwards>)
tensor(3.2551, grad_fn=<CopyBackwards>)
tensor(2.9940, grad_fn=<CopyBackwards>)
tensor(3.5348, grad_fn=<CopyBackwards>)
tensor(3.1048, grad_fn=<CopyBackwards>)
tensor(4.2511, grad_fn=<CopyBackwards>)
tensor(2.2653, grad_fn=<CopyBackwards>)
tensor(2.4616, grad_fn=<CopyBackwards>)
tensor(2.6064, grad_fn=<CopyBackwards>)
tensor(2.4587, grad_fn=<CopyBackwards>)
tensor(1.5129, grad_fn=<CopyBackwards>)
tensor(2.0292, grad_fn=<CopyBackwards>)
tensor(3.4677, grad_fn=<CopyBackwards>)
tensor(2.2666, grad_fn=<CopyBackwards>)
tensor(2.1353, grad_fn=<CopyBackwards>)
tensor(3.5455, grad_fn=<CopyBackwards>)
tensor(2.5131, grad_fn=<CopyBackwards>)
tensor(1.9148, grad_fn=<CopyBackwards>)
tensor(3.3882, grad_fn=<CopyBackwards>)
tensor(2.5891, grad_fn=<CopyBackwards>)
tensor(2.2500, grad_fn=<CopyBackwards>)
tensor(2.7229, grad_fn=<CopyBackwards>)
tensor(1.6404, grad_fn=<CopyBackwards>)
tensor(1.8149, grad_fn=<CopyBackwards>)
tensor(2.5317, grad_fn=<CopyBackwards>)
tensor(1.4266, grad_fn=<CopyBackwards>)
tensor(1.8143, grad_fn=<CopyBackwards>)
tensor(2.1155, grad_fn=<CopyBackwards>)
tensor(1.9997, grad_fn=<CopyBackwards>)
tensor(1.3373, grad_fn=<CopyBackwards>)
tensor(2.3381, grad_fn=<CopyBackwards>)
tensor(2.7060, grad_fn=<CopyBackwards>)
tensor(1.5132, grad_fn=<CopyBackwards>)
tensor(1.4406, grad_fn=<CopyBackwards>)
tensor(2.2625, grad_fn=<CopyBackwards>)
tensor(2.9827, grad_fn=<CopyBackwards>)
tensor(2.1171, grad_fn=<CopyBackwards>)
tensor(2.7940, grad_fn=<CopyBackwards>)
tensor(2.7836, grad_fn=<CopyBackwards>)
tensor(1.4961, grad_fn=<CopyBackwards>)
tensor(1.6360, grad_fn=<CopyBackwards>)
tensor(2.9367, grad_fn=<CopyBackwards>)
tensor(1.6079, grad_fn=<CopyBackwards>)
tensor(3.3149, grad_fn=<CopyBackwards>)
tensor(2.0433, grad_fn=<CopyBackwards>)
