tensor(-0.1007, grad_fn=<CopyBackwards>)
tensor(-0.0246, grad_fn=<CopyBackwards>)
tensor(-0.1075, grad_fn=<CopyBackwards>)
tensor(0.0046, grad_fn=<CopyBackwards>)
tensor(-0.3851, grad_fn=<CopyBackwards>)
tensor(-0.4501, grad_fn=<CopyBackwards>)
tensor(-0.2794, grad_fn=<CopyBackwards>)
tensor(-0.4881, grad_fn=<CopyBackwards>)
tensor(-0.2950, grad_fn=<CopyBackwards>)
tensor(-0.3372, grad_fn=<CopyBackwards>)
tensor(-0.2345, grad_fn=<CopyBackwards>)
tensor(-0.3153, grad_fn=<CopyBackwards>)
tensor(-0.6932, grad_fn=<CopyBackwards>)
tensor(-0.3156, grad_fn=<CopyBackwards>)
tensor(-0.1265, grad_fn=<CopyBackwards>)
tensor(-0.8104, grad_fn=<CopyBackwards>)
tensor(-0.3670, grad_fn=<CopyBackwards>)
tensor(-0.1198, grad_fn=<CopyBackwards>)
tensor(0.1676, grad_fn=<CopyBackwards>)
tensor(-0.5769, grad_fn=<CopyBackwards>)
tensor(-0.4181, grad_fn=<CopyBackwards>)
tensor(-0.5264, grad_fn=<CopyBackwards>)
tensor(-0.3271, grad_fn=<CopyBackwards>)
tensor(-0.4529, grad_fn=<CopyBackwards>)
tensor(-0.4967, grad_fn=<CopyBackwards>)
tensor(-0.6696, grad_fn=<CopyBackwards>)
tensor(-0.5514, grad_fn=<CopyBackwards>)
tensor(-0.5146, grad_fn=<CopyBackwards>)
tensor(-0.3291, grad_fn=<CopyBackwards>)
tensor(-0.2793, grad_fn=<CopyBackwards>)
tensor(-0.6497, grad_fn=<CopyBackwards>)
tensor(-0.4096, grad_fn=<CopyBackwards>)
tensor(-0.4755, grad_fn=<CopyBackwards>)
tensor(-0.6902, grad_fn=<CopyBackwards>)
tensor(-0.3998, grad_fn=<CopyBackwards>)
tensor(-0.5538, grad_fn=<CopyBackwards>)
tensor(-0.8053, grad_fn=<CopyBackwards>)
tensor(-0.0166, grad_fn=<CopyBackwards>)
tensor(-0.5407, grad_fn=<CopyBackwards>)
tensor(-0.6943, grad_fn=<CopyBackwards>)
tensor(-0.6019, grad_fn=<CopyBackwards>)
tensor(-0.9000, grad_fn=<CopyBackwards>)
tensor(-0.6366, grad_fn=<CopyBackwards>)
tensor(-0.5373, grad_fn=<CopyBackwards>)
tensor(-0.3961, grad_fn=<CopyBackwards>)
tensor(-0.2441, grad_fn=<CopyBackwards>)
tensor(-0.5318, grad_fn=<CopyBackwards>)
tensor(-0.5189, grad_fn=<CopyBackwards>)
tensor(-0.5713, grad_fn=<CopyBackwards>)
tensor(-0.1851, grad_fn=<CopyBackwards>)
tensor(-0.5946, grad_fn=<CopyBackwards>)
tensor(-0.4204, grad_fn=<CopyBackwards>)
tensor(-0.3237, grad_fn=<CopyBackwards>)
tensor(-0.4799, grad_fn=<CopyBackwards>)
tensor(-0.7729, grad_fn=<CopyBackwards>)
tensor(-0.5980, grad_fn=<CopyBackwards>)
tensor(-0.7367, grad_fn=<CopyBackwards>)
tensor(-0.6716, grad_fn=<CopyBackwards>)
tensor(-0.5989, grad_fn=<CopyBackwards>)
tensor(-0.7778, grad_fn=<CopyBackwards>)
tensor(-0.2367, grad_fn=<CopyBackwards>)
tensor(-0.4614, grad_fn=<CopyBackwards>)
tensor(-0.3470, grad_fn=<CopyBackwards>)
tensor(-0.5103, grad_fn=<CopyBackwards>)
tensor(-0.5974, grad_fn=<CopyBackwards>)
tensor(-0.5213, grad_fn=<CopyBackwards>)
tensor(-0.4175, grad_fn=<CopyBackwards>)
tensor(-0.0973, grad_fn=<CopyBackwards>)
tensor(-0.4946, grad_fn=<CopyBackwards>)
tensor(0.0719, grad_fn=<CopyBackwards>)
tensor(-0.6197, grad_fn=<CopyBackwards>)
tensor(-0.6464, grad_fn=<CopyBackwards>)
tensor(-0.7366, grad_fn=<CopyBackwards>)
tensor(-0.5047, grad_fn=<CopyBackwards>)
tensor(-0.0292, grad_fn=<CopyBackwards>)
tensor(-0.7591, grad_fn=<CopyBackwards>)
tensor(-0.5435, grad_fn=<CopyBackwards>)
tensor(-0.8659, grad_fn=<CopyBackwards>)
tensor(-0.5885, grad_fn=<CopyBackwards>)
tensor(-0.5170, grad_fn=<CopyBackwards>)
tensor(-0.4862, grad_fn=<CopyBackwards>)
tensor(-0.8053, grad_fn=<CopyBackwards>)
tensor(-0.5324, grad_fn=<CopyBackwards>)
tensor(-0.4805, grad_fn=<CopyBackwards>)
tensor(-0.5435, grad_fn=<CopyBackwards>)
tensor(-0.3080, grad_fn=<CopyBackwards>)
tensor(-0.7227, grad_fn=<CopyBackwards>)
tensor(-0.7491, grad_fn=<CopyBackwards>)
tensor(-0.7781, grad_fn=<CopyBackwards>)
tensor(-0.0394, grad_fn=<CopyBackwards>)
tensor(-0.5137, grad_fn=<CopyBackwards>)
tensor(-0.7254, grad_fn=<CopyBackwards>)
tensor(-0.5610, grad_fn=<CopyBackwards>)
tensor(-0.6461, grad_fn=<CopyBackwards>)
tensor(-0.2024, grad_fn=<CopyBackwards>)
tensor(-0.7341, grad_fn=<CopyBackwards>)
tensor(-0.4417, grad_fn=<CopyBackwards>)
tensor(-0.5790, grad_fn=<CopyBackwards>)
tensor(-0.1176, grad_fn=<CopyBackwards>)
tensor(-0.4980, grad_fn=<CopyBackwards>)
tensor(-0.3439, grad_fn=<CopyBackwards>)
tensor(-0.7034, grad_fn=<CopyBackwards>)
tensor(-0.4642, grad_fn=<CopyBackwards>)
tensor(-0.5831, grad_fn=<CopyBackwards>)
tensor(0.0412, grad_fn=<CopyBackwards>)
tensor(-0.5696, grad_fn=<CopyBackwards>)
tensor(-0.0261, grad_fn=<CopyBackwards>)
tensor(-0.6696, grad_fn=<CopyBackwards>)
tensor(-0.7508, grad_fn=<CopyBackwards>)
tensor(-0.7189, grad_fn=<CopyBackwards>)
tensor(-0.0874, grad_fn=<CopyBackwards>)
tensor(-0.4845, grad_fn=<CopyBackwards>)
tensor(-0.4461, grad_fn=<CopyBackwards>)
tensor(-0.6521, grad_fn=<CopyBackwards>)
tensor(-0.6613, grad_fn=<CopyBackwards>)
tensor(-0.6189, grad_fn=<CopyBackwards>)
tensor(-0.8343, grad_fn=<CopyBackwards>)
tensor(-0.4664, grad_fn=<CopyBackwards>)
tensor(-0.7698, grad_fn=<CopyBackwards>)
tensor(-0.4092, grad_fn=<CopyBackwards>)
tensor(-0.8235, grad_fn=<CopyBackwards>)
tensor(-0.6004, grad_fn=<CopyBackwards>)
tensor(-0.6367, grad_fn=<CopyBackwards>)
tensor(-0.6506, grad_fn=<CopyBackwards>)
tensor(-0.6806, grad_fn=<CopyBackwards>)
tensor(-0.6732, grad_fn=<CopyBackwards>)
tensor(-0.6084, grad_fn=<CopyBackwards>)
tensor(-0.5458, grad_fn=<CopyBackwards>)
tensor(-0.8947, grad_fn=<CopyBackwards>)
tensor(-0.3796, grad_fn=<CopyBackwards>)
tensor(-0.7061, grad_fn=<CopyBackwards>)
tensor(-0.3990, grad_fn=<CopyBackwards>)
tensor(-0.7319, grad_fn=<CopyBackwards>)
tensor(-0.4223, grad_fn=<CopyBackwards>)
tensor(-0.0025, grad_fn=<CopyBackwards>)
tensor(-0.3757, grad_fn=<CopyBackwards>)
tensor(-0.4120, grad_fn=<CopyBackwards>)
tensor(-0.6776, grad_fn=<CopyBackwards>)
tensor(-0.3750, grad_fn=<CopyBackwards>)
tensor(0.1280, grad_fn=<CopyBackwards>)
tensor(-0.1545, grad_fn=<CopyBackwards>)
tensor(0.2610, grad_fn=<CopyBackwards>)
tensor(-0.1988, grad_fn=<CopyBackwards>)
tensor(0.1673, grad_fn=<CopyBackwards>)
tensor(-0.7456, grad_fn=<CopyBackwards>)
tensor(-0.2882, grad_fn=<CopyBackwards>)
tensor(-0.3918, grad_fn=<CopyBackwards>)
