tensor(5.7305, grad_fn=<CopyBackwards>)
tensor(5.4333, grad_fn=<CopyBackwards>)
tensor(5.4543, grad_fn=<CopyBackwards>)
tensor(5.4848, grad_fn=<CopyBackwards>)
tensor(6.2041, grad_fn=<CopyBackwards>)
tensor(5.0093, grad_fn=<CopyBackwards>)
tensor(4.6585, grad_fn=<CopyBackwards>)
tensor(4.6946, grad_fn=<CopyBackwards>)
tensor(3.8835, grad_fn=<CopyBackwards>)
tensor(3.2838, grad_fn=<CopyBackwards>)
tensor(5.3778, grad_fn=<CopyBackwards>)
tensor(5.2884, grad_fn=<CopyBackwards>)
tensor(3.4732, grad_fn=<CopyBackwards>)
tensor(2.7164, grad_fn=<CopyBackwards>)
tensor(4.0655, grad_fn=<CopyBackwards>)
tensor(2.1918, grad_fn=<CopyBackwards>)
tensor(2.7494, grad_fn=<CopyBackwards>)
tensor(2.9880, grad_fn=<CopyBackwards>)
tensor(2.1377, grad_fn=<CopyBackwards>)
tensor(1.4329, grad_fn=<CopyBackwards>)
tensor(1.0561, grad_fn=<CopyBackwards>)
tensor(2.2771, grad_fn=<CopyBackwards>)
tensor(1.4369, grad_fn=<CopyBackwards>)
tensor(2.0461, grad_fn=<CopyBackwards>)
tensor(2.8345, grad_fn=<CopyBackwards>)
tensor(1.7293, grad_fn=<CopyBackwards>)
tensor(3.8075, grad_fn=<CopyBackwards>)
tensor(3.2538, grad_fn=<CopyBackwards>)
tensor(3.5828, grad_fn=<CopyBackwards>)
tensor(2.4601, grad_fn=<CopyBackwards>)
tensor(2.0093, grad_fn=<CopyBackwards>)
tensor(1.3303, grad_fn=<CopyBackwards>)
tensor(5.4778, grad_fn=<CopyBackwards>)
tensor(3.2105, grad_fn=<CopyBackwards>)
tensor(4.6747, grad_fn=<CopyBackwards>)
tensor(2.3185, grad_fn=<CopyBackwards>)
tensor(2.2537, grad_fn=<CopyBackwards>)
tensor(5.2551, grad_fn=<CopyBackwards>)
tensor(2.1444, grad_fn=<CopyBackwards>)
tensor(4.5409, grad_fn=<CopyBackwards>)
tensor(3.8515, grad_fn=<CopyBackwards>)
tensor(1.4888, grad_fn=<CopyBackwards>)
tensor(2.1929, grad_fn=<CopyBackwards>)
tensor(6.8875, grad_fn=<CopyBackwards>)
tensor(2.5093, grad_fn=<CopyBackwards>)
tensor(1.6499, grad_fn=<CopyBackwards>)
tensor(3.5870, grad_fn=<CopyBackwards>)
tensor(1.3233, grad_fn=<CopyBackwards>)
tensor(2.6943, grad_fn=<CopyBackwards>)
tensor(1.4950, grad_fn=<CopyBackwards>)
tensor(5.0426, grad_fn=<CopyBackwards>)
tensor(2.3734, grad_fn=<CopyBackwards>)
tensor(3.4470, grad_fn=<CopyBackwards>)
tensor(2.7779, grad_fn=<CopyBackwards>)
tensor(2.0790, grad_fn=<CopyBackwards>)
tensor(1.8979, grad_fn=<CopyBackwards>)
tensor(3.7695, grad_fn=<CopyBackwards>)
tensor(1.9759, grad_fn=<CopyBackwards>)
tensor(2.4862, grad_fn=<CopyBackwards>)
tensor(5.8043, grad_fn=<CopyBackwards>)
tensor(1.6808, grad_fn=<CopyBackwards>)
tensor(3.8821, grad_fn=<CopyBackwards>)
tensor(2.2404, grad_fn=<CopyBackwards>)
tensor(2.4828, grad_fn=<CopyBackwards>)
tensor(3.5875, grad_fn=<CopyBackwards>)
tensor(5.1307, grad_fn=<CopyBackwards>)
tensor(3.4939, grad_fn=<CopyBackwards>)
tensor(4.8646, grad_fn=<CopyBackwards>)
tensor(3.6411, grad_fn=<CopyBackwards>)
tensor(4.5846, grad_fn=<CopyBackwards>)
tensor(4.2400, grad_fn=<CopyBackwards>)
tensor(4.0066, grad_fn=<CopyBackwards>)
tensor(2.9766, grad_fn=<CopyBackwards>)
tensor(4.2162, grad_fn=<CopyBackwards>)
tensor(4.5540, grad_fn=<CopyBackwards>)
tensor(2.1301, grad_fn=<CopyBackwards>)
tensor(2.1764, grad_fn=<CopyBackwards>)
tensor(4.0323, grad_fn=<CopyBackwards>)
tensor(2.9456, grad_fn=<CopyBackwards>)
tensor(3.3786, grad_fn=<CopyBackwards>)
tensor(3.3405, grad_fn=<CopyBackwards>)
tensor(2.8078, grad_fn=<CopyBackwards>)
tensor(3.1438, grad_fn=<CopyBackwards>)
tensor(4.8129, grad_fn=<CopyBackwards>)
tensor(2.3788, grad_fn=<CopyBackwards>)
tensor(5.9401, grad_fn=<CopyBackwards>)
tensor(1.7070, grad_fn=<CopyBackwards>)
tensor(2.3059, grad_fn=<CopyBackwards>)
tensor(4.1645, grad_fn=<CopyBackwards>)
tensor(5.4685, grad_fn=<CopyBackwards>)
tensor(4.0613, grad_fn=<CopyBackwards>)
tensor(3.2273, grad_fn=<CopyBackwards>)
tensor(4.6039, grad_fn=<CopyBackwards>)
tensor(4.3518, grad_fn=<CopyBackwards>)
tensor(4.2054, grad_fn=<CopyBackwards>)
tensor(3.5092, grad_fn=<CopyBackwards>)
tensor(5.4581, grad_fn=<CopyBackwards>)
tensor(3.7449, grad_fn=<CopyBackwards>)
tensor(4.1528, grad_fn=<CopyBackwards>)
tensor(4.5048, grad_fn=<CopyBackwards>)
tensor(3.7078, grad_fn=<CopyBackwards>)
tensor(3.8545, grad_fn=<CopyBackwards>)
tensor(3.2943, grad_fn=<CopyBackwards>)
tensor(2.3501, grad_fn=<CopyBackwards>)
tensor(6.0348, grad_fn=<CopyBackwards>)
tensor(5.2012, grad_fn=<CopyBackwards>)
tensor(3.8836, grad_fn=<CopyBackwards>)
tensor(3.3851, grad_fn=<CopyBackwards>)
tensor(6.4875, grad_fn=<CopyBackwards>)
tensor(2.3544, grad_fn=<CopyBackwards>)
tensor(4.0130, grad_fn=<CopyBackwards>)
tensor(2.7908, grad_fn=<CopyBackwards>)
tensor(3.5705, grad_fn=<CopyBackwards>)
tensor(4.2763, grad_fn=<CopyBackwards>)
tensor(2.6082, grad_fn=<CopyBackwards>)
tensor(3.4571, grad_fn=<CopyBackwards>)
tensor(3.4555, grad_fn=<CopyBackwards>)
tensor(1.9932, grad_fn=<CopyBackwards>)
tensor(1.9611, grad_fn=<CopyBackwards>)
tensor(1.6668, grad_fn=<CopyBackwards>)
tensor(2.5615, grad_fn=<CopyBackwards>)
tensor(2.0507, grad_fn=<CopyBackwards>)
tensor(3.0935, grad_fn=<CopyBackwards>)
tensor(2.0779, grad_fn=<CopyBackwards>)
tensor(3.1278, grad_fn=<CopyBackwards>)
tensor(3.2476, grad_fn=<CopyBackwards>)
tensor(2.5780, grad_fn=<CopyBackwards>)
tensor(2.1344, grad_fn=<CopyBackwards>)
tensor(2.8271, grad_fn=<CopyBackwards>)
tensor(2.9363, grad_fn=<CopyBackwards>)
tensor(1.7368, grad_fn=<CopyBackwards>)
tensor(6.7227, grad_fn=<CopyBackwards>)
tensor(3.1636, grad_fn=<CopyBackwards>)
tensor(3.2671, grad_fn=<CopyBackwards>)
tensor(2.6716, grad_fn=<CopyBackwards>)
tensor(3.7991, grad_fn=<CopyBackwards>)
tensor(4.5591, grad_fn=<CopyBackwards>)
tensor(2.7720, grad_fn=<CopyBackwards>)
tensor(4.7468, grad_fn=<CopyBackwards>)
tensor(2.1663, grad_fn=<CopyBackwards>)
tensor(2.7929, grad_fn=<CopyBackwards>)
tensor(2.3234, grad_fn=<CopyBackwards>)
tensor(1.8015, grad_fn=<CopyBackwards>)
tensor(2.7521, grad_fn=<CopyBackwards>)
tensor(3.3572, grad_fn=<CopyBackwards>)
tensor(3.0540, grad_fn=<CopyBackwards>)
tensor(4.0961, grad_fn=<CopyBackwards>)
tensor(5.0263, grad_fn=<CopyBackwards>)
tensor(3.3088, grad_fn=<CopyBackwards>)
tensor(4.1566, grad_fn=<CopyBackwards>)
tensor(2.8792, grad_fn=<CopyBackwards>)
tensor(2.8929, grad_fn=<CopyBackwards>)
tensor(2.8878, grad_fn=<CopyBackwards>)
tensor(2.3964, grad_fn=<CopyBackwards>)
tensor(2.0541, grad_fn=<CopyBackwards>)
tensor(2.4779, grad_fn=<CopyBackwards>)
tensor(4.7030, grad_fn=<CopyBackwards>)
tensor(2.2394, grad_fn=<CopyBackwards>)
tensor(4.9646, grad_fn=<CopyBackwards>)
tensor(1.6898, grad_fn=<CopyBackwards>)
tensor(2.7410, grad_fn=<CopyBackwards>)
tensor(5.4298, grad_fn=<CopyBackwards>)
tensor(1.8535, grad_fn=<CopyBackwards>)
tensor(4.5561, grad_fn=<CopyBackwards>)
tensor(4.4451, grad_fn=<CopyBackwards>)
tensor(3.4757, grad_fn=<CopyBackwards>)
tensor(3.8227, grad_fn=<CopyBackwards>)
tensor(3.5666, grad_fn=<CopyBackwards>)
tensor(3.1530, grad_fn=<CopyBackwards>)
tensor(3.5957, grad_fn=<CopyBackwards>)
tensor(6.3443, grad_fn=<CopyBackwards>)
tensor(4.8874, grad_fn=<CopyBackwards>)
tensor(5.7353, grad_fn=<CopyBackwards>)
tensor(3.0883, grad_fn=<CopyBackwards>)
