tensor(-0.1326, grad_fn=<CopyBackwards>)
tensor(-0.0306, grad_fn=<CopyBackwards>)
tensor(-0.2148, grad_fn=<CopyBackwards>)
tensor(-0.0378, grad_fn=<CopyBackwards>)
tensor(-0.0905, grad_fn=<CopyBackwards>)
tensor(-0.2513, grad_fn=<CopyBackwards>)
tensor(-0.1261, grad_fn=<CopyBackwards>)
tensor(-0.2968, grad_fn=<CopyBackwards>)
tensor(-0.3457, grad_fn=<CopyBackwards>)
tensor(-0.1732, grad_fn=<CopyBackwards>)
tensor(-0.2192, grad_fn=<CopyBackwards>)
tensor(-0.3537, grad_fn=<CopyBackwards>)
tensor(-0.3345, grad_fn=<CopyBackwards>)
tensor(-0.0692, grad_fn=<CopyBackwards>)
tensor(-0.1598, grad_fn=<CopyBackwards>)
tensor(0.0056, grad_fn=<CopyBackwards>)
tensor(-0.0148, grad_fn=<CopyBackwards>)
tensor(-0.1972, grad_fn=<CopyBackwards>)
tensor(-0.4254, grad_fn=<CopyBackwards>)
tensor(-0.2792, grad_fn=<CopyBackwards>)
tensor(-0.1964, grad_fn=<CopyBackwards>)
tensor(-0.2574, grad_fn=<CopyBackwards>)
tensor(-0.4706, grad_fn=<CopyBackwards>)
tensor(-0.3192, grad_fn=<CopyBackwards>)
tensor(-0.6404, grad_fn=<CopyBackwards>)
tensor(-0.4496, grad_fn=<CopyBackwards>)
tensor(-0.6325, grad_fn=<CopyBackwards>)
tensor(-0.7199, grad_fn=<CopyBackwards>)
tensor(-0.5928, grad_fn=<CopyBackwards>)
tensor(-0.6684, grad_fn=<CopyBackwards>)
tensor(-0.8254, grad_fn=<CopyBackwards>)
tensor(-0.0409, grad_fn=<CopyBackwards>)
tensor(-0.2482, grad_fn=<CopyBackwards>)
tensor(-0.7028, grad_fn=<CopyBackwards>)
tensor(-0.6503, grad_fn=<CopyBackwards>)
tensor(-0.5898, grad_fn=<CopyBackwards>)
tensor(-0.5609, grad_fn=<CopyBackwards>)
tensor(-0.8168, grad_fn=<CopyBackwards>)
tensor(-0.5720, grad_fn=<CopyBackwards>)
tensor(-0.5635, grad_fn=<CopyBackwards>)
tensor(-0.5322, grad_fn=<CopyBackwards>)
tensor(-0.8765, grad_fn=<CopyBackwards>)
tensor(-0.6285, grad_fn=<CopyBackwards>)
tensor(-0.6302, grad_fn=<CopyBackwards>)
tensor(-0.4462, grad_fn=<CopyBackwards>)
tensor(-0.7211, grad_fn=<CopyBackwards>)
tensor(-0.7128, grad_fn=<CopyBackwards>)
tensor(-0.6806, grad_fn=<CopyBackwards>)
tensor(-0.5269, grad_fn=<CopyBackwards>)
tensor(-0.8103, grad_fn=<CopyBackwards>)
tensor(-0.7597, grad_fn=<CopyBackwards>)
tensor(-0.6193, grad_fn=<CopyBackwards>)
tensor(-0.8839, grad_fn=<CopyBackwards>)
tensor(-0.8792, grad_fn=<CopyBackwards>)
tensor(-0.8270, grad_fn=<CopyBackwards>)
tensor(-0.7343, grad_fn=<CopyBackwards>)
tensor(-0.6922, grad_fn=<CopyBackwards>)
tensor(-0.6899, grad_fn=<CopyBackwards>)
tensor(-0.7983, grad_fn=<CopyBackwards>)
tensor(-0.7406, grad_fn=<CopyBackwards>)
tensor(-0.6949, grad_fn=<CopyBackwards>)
tensor(-0.7160, grad_fn=<CopyBackwards>)
tensor(-0.8141, grad_fn=<CopyBackwards>)
tensor(-0.7054, grad_fn=<CopyBackwards>)
tensor(-0.8264, grad_fn=<CopyBackwards>)
tensor(-0.5909, grad_fn=<CopyBackwards>)
tensor(-0.9224, grad_fn=<CopyBackwards>)
tensor(-0.5549, grad_fn=<CopyBackwards>)
tensor(-0.9398, grad_fn=<CopyBackwards>)
tensor(-0.4874, grad_fn=<CopyBackwards>)
tensor(-0.6205, grad_fn=<CopyBackwards>)
tensor(-0.1572, grad_fn=<CopyBackwards>)
tensor(-0.3261, grad_fn=<CopyBackwards>)
tensor(-0.4224, grad_fn=<CopyBackwards>)
tensor(-0.5948, grad_fn=<CopyBackwards>)
tensor(-0.1919, grad_fn=<CopyBackwards>)
tensor(-0.6980, grad_fn=<CopyBackwards>)
tensor(-0.6609, grad_fn=<CopyBackwards>)
tensor(-0.5671, grad_fn=<CopyBackwards>)
tensor(-0.7082, grad_fn=<CopyBackwards>)
tensor(-0.7229, grad_fn=<CopyBackwards>)
tensor(-0.8101, grad_fn=<CopyBackwards>)
tensor(-0.4945, grad_fn=<CopyBackwards>)
tensor(-0.5986, grad_fn=<CopyBackwards>)
tensor(-0.7586, grad_fn=<CopyBackwards>)
tensor(-0.7602, grad_fn=<CopyBackwards>)
tensor(-0.9238, grad_fn=<CopyBackwards>)
tensor(-0.7001, grad_fn=<CopyBackwards>)
tensor(-0.7595, grad_fn=<CopyBackwards>)
tensor(-0.9434, grad_fn=<CopyBackwards>)
tensor(-0.6642, grad_fn=<CopyBackwards>)
tensor(-0.8045, grad_fn=<CopyBackwards>)
tensor(-0.4100, grad_fn=<CopyBackwards>)
tensor(-0.5206, grad_fn=<CopyBackwards>)
tensor(-0.8704, grad_fn=<CopyBackwards>)
tensor(-0.8525, grad_fn=<CopyBackwards>)
tensor(-0.6112, grad_fn=<CopyBackwards>)
tensor(-0.8455, grad_fn=<CopyBackwards>)
tensor(-0.6338, grad_fn=<CopyBackwards>)
tensor(-0.6661, grad_fn=<CopyBackwards>)
tensor(-0.7892, grad_fn=<CopyBackwards>)
tensor(-0.7598, grad_fn=<CopyBackwards>)
tensor(-0.6883, grad_fn=<CopyBackwards>)
tensor(-0.8661, grad_fn=<CopyBackwards>)
tensor(-0.8238, grad_fn=<CopyBackwards>)
tensor(-0.5380, grad_fn=<CopyBackwards>)
tensor(-0.6058, grad_fn=<CopyBackwards>)
tensor(-0.7986, grad_fn=<CopyBackwards>)
tensor(-0.6374, grad_fn=<CopyBackwards>)
tensor(-0.6528, grad_fn=<CopyBackwards>)
tensor(-0.7972, grad_fn=<CopyBackwards>)
tensor(-0.2642, grad_fn=<CopyBackwards>)
tensor(-0.9405, grad_fn=<CopyBackwards>)
tensor(-0.8740, grad_fn=<CopyBackwards>)
tensor(-0.8546, grad_fn=<CopyBackwards>)
tensor(-0.8779, grad_fn=<CopyBackwards>)
tensor(-0.7465, grad_fn=<CopyBackwards>)
tensor(-0.1080, grad_fn=<CopyBackwards>)
tensor(-0.7778, grad_fn=<CopyBackwards>)
tensor(-0.3337, grad_fn=<CopyBackwards>)
tensor(-0.8754, grad_fn=<CopyBackwards>)
tensor(-0.7853, grad_fn=<CopyBackwards>)
tensor(-0.7592, grad_fn=<CopyBackwards>)
tensor(-0.9086, grad_fn=<CopyBackwards>)
tensor(-0.9664, grad_fn=<CopyBackwards>)
tensor(-0.6666, grad_fn=<CopyBackwards>)
tensor(-0.7831, grad_fn=<CopyBackwards>)
tensor(-0.8609, grad_fn=<CopyBackwards>)
tensor(-0.6462, grad_fn=<CopyBackwards>)
tensor(-0.7619, grad_fn=<CopyBackwards>)
tensor(-0.8719, grad_fn=<CopyBackwards>)
tensor(-0.9453, grad_fn=<CopyBackwards>)
tensor(-0.8117, grad_fn=<CopyBackwards>)
tensor(-0.5386, grad_fn=<CopyBackwards>)
tensor(-0.9764, grad_fn=<CopyBackwards>)
tensor(-0.8668, grad_fn=<CopyBackwards>)
tensor(-0.6881, grad_fn=<CopyBackwards>)
tensor(-0.5387, grad_fn=<CopyBackwards>)
tensor(-0.8581, grad_fn=<CopyBackwards>)
tensor(-0.9295, grad_fn=<CopyBackwards>)
tensor(-0.6642, grad_fn=<CopyBackwards>)
tensor(-0.6785, grad_fn=<CopyBackwards>)
tensor(-0.7121, grad_fn=<CopyBackwards>)
tensor(-0.8875, grad_fn=<CopyBackwards>)
tensor(-0.9086, grad_fn=<CopyBackwards>)
tensor(-0.9744, grad_fn=<CopyBackwards>)
tensor(-0.7807, grad_fn=<CopyBackwards>)
tensor(-0.8658, grad_fn=<CopyBackwards>)
tensor(-0.9219, grad_fn=<CopyBackwards>)
tensor(-0.1250, grad_fn=<CopyBackwards>)
tensor(-0.7751, grad_fn=<CopyBackwards>)
tensor(-0.8944, grad_fn=<CopyBackwards>)
tensor(-0.8075, grad_fn=<CopyBackwards>)
tensor(-0.7328, grad_fn=<CopyBackwards>)
tensor(-0.8183, grad_fn=<CopyBackwards>)
tensor(-0.4737, grad_fn=<CopyBackwards>)
tensor(-0.9285, grad_fn=<CopyBackwards>)
tensor(-0.8984, grad_fn=<CopyBackwards>)
tensor(-0.7115, grad_fn=<CopyBackwards>)
tensor(-0.7625, grad_fn=<CopyBackwards>)
tensor(-0.7021, grad_fn=<CopyBackwards>)
tensor(-0.8968, grad_fn=<CopyBackwards>)
tensor(-0.6415, grad_fn=<CopyBackwards>)
tensor(-0.8705, grad_fn=<CopyBackwards>)
tensor(-0.9105, grad_fn=<CopyBackwards>)
tensor(-0.5339, grad_fn=<CopyBackwards>)
tensor(-0.7340, grad_fn=<CopyBackwards>)
tensor(-0.8041, grad_fn=<CopyBackwards>)
tensor(-0.7254, grad_fn=<CopyBackwards>)
tensor(-0.0866, grad_fn=<CopyBackwards>)
tensor(-0.7776, grad_fn=<CopyBackwards>)
tensor(-0.6262, grad_fn=<CopyBackwards>)
tensor(-0.5785, grad_fn=<CopyBackwards>)
tensor(-0.9467, grad_fn=<CopyBackwards>)
tensor(-0.2713, grad_fn=<CopyBackwards>)
tensor(-0.7964, grad_fn=<CopyBackwards>)
tensor(-0.8566, grad_fn=<CopyBackwards>)
tensor(-0.8280, grad_fn=<CopyBackwards>)
tensor(-0.9133, grad_fn=<CopyBackwards>)
tensor(-0.8936, grad_fn=<CopyBackwards>)
tensor(-0.8373, grad_fn=<CopyBackwards>)
tensor(-0.8706, grad_fn=<CopyBackwards>)
tensor(-0.9479, grad_fn=<CopyBackwards>)
tensor(-0.7336, grad_fn=<CopyBackwards>)
tensor(-0.8244, grad_fn=<CopyBackwards>)
tensor(-0.4975, grad_fn=<CopyBackwards>)
tensor(-0.7775, grad_fn=<CopyBackwards>)
tensor(-0.9409, grad_fn=<CopyBackwards>)
tensor(-0.8314, grad_fn=<CopyBackwards>)
tensor(-0.5106, grad_fn=<CopyBackwards>)
tensor(-0.8486, grad_fn=<CopyBackwards>)
tensor(-0.7057, grad_fn=<CopyBackwards>)
tensor(-0.7739, grad_fn=<CopyBackwards>)
tensor(-0.1229, grad_fn=<CopyBackwards>)
tensor(-0.1671, grad_fn=<CopyBackwards>)
tensor(0.6011, grad_fn=<CopyBackwards>)
tensor(-0.4516, grad_fn=<CopyBackwards>)
tensor(-0.2275, grad_fn=<CopyBackwards>)
tensor(-0.3754, grad_fn=<CopyBackwards>)
tensor(-0.5172, grad_fn=<CopyBackwards>)
tensor(-0.4197, grad_fn=<CopyBackwards>)
tensor(-0.5505, grad_fn=<CopyBackwards>)
tensor(-0.4139, grad_fn=<CopyBackwards>)
tensor(-0.4447, grad_fn=<CopyBackwards>)
tensor(-0.4274, grad_fn=<CopyBackwards>)
tensor(-0.5026, grad_fn=<CopyBackwards>)
tensor(-0.5649, grad_fn=<CopyBackwards>)
tensor(-0.3059, grad_fn=<CopyBackwards>)
tensor(-0.4979, grad_fn=<CopyBackwards>)
tensor(-0.2487, grad_fn=<CopyBackwards>)
tensor(-0.2579, grad_fn=<CopyBackwards>)
tensor(-0.3507, grad_fn=<CopyBackwards>)
tensor(-0.4314, grad_fn=<CopyBackwards>)
tensor(-0.3412, grad_fn=<CopyBackwards>)
tensor(-0.5110, grad_fn=<CopyBackwards>)
tensor(-0.4999, grad_fn=<CopyBackwards>)
tensor(-0.4945, grad_fn=<CopyBackwards>)
tensor(-0.7179, grad_fn=<CopyBackwards>)
tensor(-0.3953, grad_fn=<CopyBackwards>)
tensor(-0.5224, grad_fn=<CopyBackwards>)
tensor(-0.0352, grad_fn=<CopyBackwards>)
tensor(-0.7715, grad_fn=<CopyBackwards>)
tensor(-0.2348, grad_fn=<CopyBackwards>)
tensor(-0.2297, grad_fn=<CopyBackwards>)
tensor(-0.5127, grad_fn=<CopyBackwards>)
tensor(-0.4535, grad_fn=<CopyBackwards>)
tensor(-0.5093, grad_fn=<CopyBackwards>)
tensor(-0.5111, grad_fn=<CopyBackwards>)
tensor(-0.6537, grad_fn=<CopyBackwards>)
tensor(-0.2374, grad_fn=<CopyBackwards>)
tensor(-0.6760, grad_fn=<CopyBackwards>)
tensor(-0.6632, grad_fn=<CopyBackwards>)
tensor(-0.5771, grad_fn=<CopyBackwards>)
tensor(-0.7877, grad_fn=<CopyBackwards>)
tensor(-0.7282, grad_fn=<CopyBackwards>)
tensor(-0.4849, grad_fn=<CopyBackwards>)
tensor(-0.6898, grad_fn=<CopyBackwards>)
tensor(-0.5545, grad_fn=<CopyBackwards>)
tensor(-0.5917, grad_fn=<CopyBackwards>)
tensor(-0.4539, grad_fn=<CopyBackwards>)
tensor(-0.4049, grad_fn=<CopyBackwards>)
tensor(-0.3191, grad_fn=<CopyBackwards>)
tensor(-0.4823, grad_fn=<CopyBackwards>)
tensor(-0.8381, grad_fn=<CopyBackwards>)
tensor(-0.6643, grad_fn=<CopyBackwards>)
tensor(-0.5805, grad_fn=<CopyBackwards>)
tensor(-0.5996, grad_fn=<CopyBackwards>)
tensor(-0.7306, grad_fn=<CopyBackwards>)
tensor(-0.3522, grad_fn=<CopyBackwards>)
tensor(-0.0587, grad_fn=<CopyBackwards>)
tensor(-0.6062, grad_fn=<CopyBackwards>)
tensor(-0.8210, grad_fn=<CopyBackwards>)
tensor(-0.7726, grad_fn=<CopyBackwards>)
tensor(-0.6931, grad_fn=<CopyBackwards>)
tensor(-0.6592, grad_fn=<CopyBackwards>)
tensor(-0.6352, grad_fn=<CopyBackwards>)
tensor(-0.4039, grad_fn=<CopyBackwards>)
tensor(-0.6089, grad_fn=<CopyBackwards>)
tensor(-0.4260, grad_fn=<CopyBackwards>)
