tensor(4.3463, grad_fn=<CopyBackwards>)
tensor(4.0944, grad_fn=<CopyBackwards>)
tensor(3.9589, grad_fn=<CopyBackwards>)
tensor(4.0465, grad_fn=<CopyBackwards>)
tensor(3.8373, grad_fn=<CopyBackwards>)
tensor(3.6653, grad_fn=<CopyBackwards>)
tensor(3.5381, grad_fn=<CopyBackwards>)
tensor(3.2170, grad_fn=<CopyBackwards>)
tensor(2.7535, grad_fn=<CopyBackwards>)
tensor(2.5396, grad_fn=<CopyBackwards>)
tensor(5.0398, grad_fn=<CopyBackwards>)
tensor(3.8939, grad_fn=<CopyBackwards>)
tensor(4.0239, grad_fn=<CopyBackwards>)
tensor([90.2283], grad_fn=<CopyBackwards>)
tensor([88.5313], grad_fn=<CopyBackwards>)
tensor([88.6281], grad_fn=<CopyBackwards>)
tensor([89.4699], grad_fn=<CopyBackwards>)
tensor([90.4910], grad_fn=<CopyBackwards>)
tensor([89.2428], grad_fn=<CopyBackwards>)
tensor([89.3452], grad_fn=<CopyBackwards>)
tensor([89.6626], grad_fn=<CopyBackwards>)
tensor([88.8268], grad_fn=<CopyBackwards>)
tensor([89.6706], grad_fn=<CopyBackwards>)
tensor([89.8546], grad_fn=<CopyBackwards>)
tensor([88.5198], grad_fn=<CopyBackwards>)
tensor([88.7484], grad_fn=<CopyBackwards>)
tensor([88.7538], grad_fn=<CopyBackwards>)
tensor([90.8032], grad_fn=<CopyBackwards>)
tensor([90.8772], grad_fn=<CopyBackwards>)
tensor([89.6741], grad_fn=<CopyBackwards>)
tensor([89.5209], grad_fn=<CopyBackwards>)
tensor([90.4505], grad_fn=<CopyBackwards>)
tensor([89.6054], grad_fn=<CopyBackwards>)
tensor([90.0486], grad_fn=<CopyBackwards>)
tensor([89.5351], grad_fn=<CopyBackwards>)
tensor([91.2666], grad_fn=<CopyBackwards>)
tensor([89.2060], grad_fn=<CopyBackwards>)
tensor([89.7681], grad_fn=<CopyBackwards>)
tensor([89.6598], grad_fn=<CopyBackwards>)
tensor([90.4864], grad_fn=<CopyBackwards>)
tensor([89.8448], grad_fn=<CopyBackwards>)
tensor([90.8677], grad_fn=<CopyBackwards>)
tensor([88.8340], grad_fn=<CopyBackwards>)
tensor([89.4419], grad_fn=<CopyBackwards>)
tensor([92.0009], grad_fn=<CopyBackwards>)
tensor([89.9261], grad_fn=<CopyBackwards>)
tensor([90.8040], grad_fn=<CopyBackwards>)
tensor([89.6847], grad_fn=<CopyBackwards>)
tensor([89.3869], grad_fn=<CopyBackwards>)
tensor([88.9196], grad_fn=<CopyBackwards>)
tensor([88.0486], grad_fn=<CopyBackwards>)
tensor([91.5456], grad_fn=<CopyBackwards>)
tensor([91.6303], grad_fn=<CopyBackwards>)
tensor([89.1911], grad_fn=<CopyBackwards>)
tensor([88.3141], grad_fn=<CopyBackwards>)
tensor([90.3542], grad_fn=<CopyBackwards>)
tensor([89.4768], grad_fn=<CopyBackwards>)
tensor([91.4725], grad_fn=<CopyBackwards>)
tensor([90.2981], grad_fn=<CopyBackwards>)
tensor([90.0305], grad_fn=<CopyBackwards>)
tensor([91.5120], grad_fn=<CopyBackwards>)
tensor([86.6935], grad_fn=<CopyBackwards>)
tensor([89.5119], grad_fn=<CopyBackwards>)
tensor([88.9086], grad_fn=<CopyBackwards>)
